"scenario","region","subRegion","param","xLabel","x","vintage","units","value"
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",1046.03193566667
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",559.505406862201
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",75.511021248
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",2.434083
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",23.3335543047096
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",9.97715677
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",950.972953333333
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",530.06768702485
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",99.1899036
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",2.01200185
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",22.4503654908644
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",10.693656905
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",842.591988333333
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",430.976305244587
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",95.964761385
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",1.70939
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",17.4301241161284
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",9.60842288
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",852.861131833333
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",430.630731049382
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",96.55770264345
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",1.7352494
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",17.245788957556
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",8.0670588395
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",340.678130752667
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",204.860979069057
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",66.93031458405
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",1.28073355
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",19.4447732277856
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",3.203756281995
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",438.864968043333
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",222.116633997171
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",66.32915263695
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",1.4816327
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",19.9648734135912
"NoRusGas_ModelOptimal","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",3.99393591822
"NoRusGas_ModelOptimal2","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",358.497947107667
"NoRusGas_ModelOptimal2","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",131.508139655449
"NoRusGas_ModelOptimal2","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",0.0003896084475
