"scenario","region","subRegion","sources","x","xLabel","vintage","units","aggregate","class2","class1","classPalette1","classPalette2","origScen","origQuery","origUnits","origX","value","origValue","classLabel1","classLabel2","param"
"Baseline_NDC","EU-15","EU-15","Sources",2030,"Year","Vint_2030","GHG emissions - (MTCO2eq)","sum","CO2","CO2_refined liquids","pal_all","pal_all","Baseline_NDC","CO2 emissions by sector","MTC",2030,11.9077273846667,3.247562014,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"Baseline_NDC","EU-15","EU-15","Sources",2030,"Year","Vint_2030","GHG emissions - (MTCO2eq)","sum","CO2","backup_electricity_CO2","pal_all","pal_all","Baseline_NDC","CO2 emissions by sector","MTC",2030,18.9926733333333,5.17982,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"NoRusGas_ModelOptimal","EU-12","EU-12","Sources",1990,"Year","Vint_1990","GHG emissions - (MTCO2eq)","sum","CO2","CO2_biomass","pal_all","pal_all","NoRusGas_ModelOptimal","CO2 emissions by sector","MTC",1990,0.098847111,0.026958303,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"NoRusGas_ModelOptimal","EU-12","EU-12","Sources",1990,"Year","Vint_1990","GHG emissions - (MTCO2eq)","sum","CO2","CO2_coal","pal_all","pal_all","NoRusGas_ModelOptimal","CO2 emissions by sector","MTC",1990,292.689481296667,79.82440399,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"NoRusGas_ModelOptimal","EU-12","EU-12","Sources",1990,"Year","Vint_1990","GHG emissions - (MTCO2eq)","sum","CO2","CO2_natural gas","pal_all","pal_all","NoRusGas_ModelOptimal","CO2 emissions by sector","MTC",1990,34.870605,9.510165,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"NoRusGas_ModelOptimal","EU-12","EU-12","Sources",1990,"Year","Vint_1990","GHG emissions - (MTCO2eq)","sum","CO2","CO2_refined liquids","pal_all","pal_all","NoRusGas_ModelOptimal","CO2 emissions by sector","MTC",1990,30.8390137,8.4106401,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"NoRusGas_ModelOptimal","EU-12","EU-12","Sources",2005,"Year","Vint_2005","GHG emissions - (MTCO2eq)","sum","CO2","CO2_biomass","pal_all","pal_all","NoRusGas_ModelOptimal","CO2 emissions by sector","MTC",2005,3.0748135,0.8385855,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"NoRusGas_ModelOptimal","EU-12","EU-12","Sources",2005,"Year","Vint_2005","GHG emissions - (MTCO2eq)","sum","CO2","CO2_coal","pal_all","pal_all","NoRusGas_ModelOptimal","CO2 emissions by sector","MTC",2005,278.238436666667,75.88321,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"NoRusGas_ModelOptimal","EU-12","EU-12","Sources",2005,"Year","Vint_2005","GHG emissions - (MTCO2eq)","sum","CO2","CO2_natural gas","pal_all","pal_all","NoRusGas_ModelOptimal","CO2 emissions by sector","MTC",2005,22.8958766666667,6.24433,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"NoRusGas_ModelOptimal","EU-12","EU-12","Sources",2005,"Year","Vint_2005","GHG emissions - (MTCO2eq)","sum","CO2","CO2_refined liquids","pal_all","pal_all","NoRusGas_ModelOptimal","CO2 emissions by sector","MTC",2005,9.2567024,2.5245552,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"NoRusGas_ModelOptimal","EU-12","EU-12","Sources",2010,"Year","Vint_2010","GHG emissions - (MTCO2eq)","sum","CO2","CO2_biomass","pal_all","pal_all","NoRusGas_ModelOptimal","CO2 emissions by sector","MTC",2010,9.54896873333333,2.6042642,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"NoRusGas_ModelOptimal","EU-12","EU-12","Sources",2010,"Year","Vint_2010","GHG emissions - (MTCO2eq)","sum","CO2","CO2_coal","pal_all","pal_all","NoRusGas_ModelOptimal","CO2 emissions by sector","MTC",2010,276.63416,75.44568,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"NoRusGas_ModelOptimal","EU-12","EU-12","Sources",2010,"Year","Vint_2010","GHG emissions - (MTCO2eq)","sum","CO2","CO2_natural gas","pal_all","pal_all","NoRusGas_ModelOptimal","CO2 emissions by sector","MTC",2010,20.3583435946,5.5522755258,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"NoRusGas_ModelOptimal","EU-12","EU-12","Sources",2010,"Year","Vint_2010","GHG emissions - (MTCO2eq)","sum","CO2","CO2_refined liquids","pal_all","pal_all","NoRusGas_ModelOptimal","CO2 emissions by sector","MTC",2010,8.91050123333333,2.4301367,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"NoRusGas_ModelOptimal","EU-12","EU-12","Sources",2015,"Year","Vint_2015","GHG emissions - (MTCO2eq)","sum","CO2","CO2_biomass","pal_all","pal_all","NoRusGas_ModelOptimal","CO2 emissions by sector","MTC",2015,14.254768,3.887664,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"NoRusGas_ModelOptimal","EU-12","EU-12","Sources",2015,"Year","Vint_2015","GHG emissions - (MTCO2eq)","sum","CO2","CO2_coal","pal_all","pal_all","NoRusGas_ModelOptimal","CO2 emissions by sector","MTC",2015,248.85641,67.86993,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"NoRusGas_ModelOptimal","EU-12","EU-12","Sources",2015,"Year","Vint_2015","GHG emissions - (MTCO2eq)","sum","CO2","CO2_natural gas","pal_all","pal_all","NoRusGas_ModelOptimal","CO2 emissions by sector","MTC",2015,15.9964439451667,4.3626665305,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"NoRusGas_ModelOptimal","EU-12","EU-12","Sources",2015,"Year","Vint_2015","GHG emissions - (MTCO2eq)","sum","CO2","CO2_refined liquids","pal_all","pal_all","NoRusGas_ModelOptimal","CO2 emissions by sector","MTC",2015,5.7806925,1.5765525,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"NoRusGas_ModelOptimal","EU-12","EU-12","Sources",2020,"Year","Vint_2020","GHG emissions - (MTCO2eq)","sum","CO2","CO2_biomass","pal_all","pal_all","NoRusGas_ModelOptimal","CO2 emissions by sector","MTC",2020,14.1671449333333,3.8637668,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"NoRusGas_ModelOptimal","EU-12","EU-12","Sources",2020,"Year","Vint_2020","GHG emissions - (MTCO2eq)","sum","CO2","CO2_coal","pal_all","pal_all","NoRusGas_ModelOptimal","CO2 emissions by sector","MTC",2020,288.762789333333,78.753488,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"NoRusGas_ModelOptimal","EU-12","EU-12","Sources",2020,"Year","Vint_2020","GHG emissions - (MTCO2eq)","sum","CO2","CO2_natural gas","pal_all","pal_all","NoRusGas_ModelOptimal","CO2 emissions by sector","MTC",2020,17.3731257707333,4.7381252102,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"NoRusGas_ModelOptimal","EU-12","EU-12","Sources",2020,"Year","Vint_2020","GHG emissions - (MTCO2eq)","sum","CO2","CO2_refined liquids","pal_all","pal_all","NoRusGas_ModelOptimal","CO2 emissions by sector","MTC",2020,4.04987795666667,1.10451217,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"NoRusGas_ModelOptimal","EU-12","EU-12","Sources",2020,"Year","Vint_2020","GHG emissions - (MTCO2eq)","sum","CO2","backup_electricity_CO2","pal_all","pal_all","NoRusGas_ModelOptimal","CO2 emissions by sector","MTC",2020,0.164214966666667,0.0447859,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"NoRusGas_ModelOptimal","EU-12","EU-12","Sources",2025,"Year","Vint_2025","GHG emissions - (MTCO2eq)","sum","CO2","CO2_biomass","pal_all","pal_all","NoRusGas_ModelOptimal","CO2 emissions by sector","MTC",2025,26.1672109673333,7.136512082,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"NoRusGas_ModelOptimal","EU-12","EU-12","Sources",2025,"Year","Vint_2025","GHG emissions - (MTCO2eq)","sum","CO2","CO2_coal","pal_all","pal_all","NoRusGas_ModelOptimal","CO2 emissions by sector","MTC",2025,61.05108856,16.65029688,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"NoRusGas_ModelOptimal","EU-12","EU-12","Sources",2025,"Year","Vint_2025","GHG emissions - (MTCO2eq)","sum","CO2","CO2_natural gas","pal_all","pal_all","NoRusGas_ModelOptimal","CO2 emissions by sector","MTC",2025,4.64016781000667,1.26550031182,"sector","ghg","emissGHGBySectorPowerGWPAR5"
